n,win,avg_roc,sharpe,fvr_bucket,rule
4890,0.450920245398773,217.7441809692625,0.01488521554112607,1.20–1.30,Hold to expiry (baseline)
4890,0.450920245398773,-11.287014679439233,-0.22309273939492485,1.20–1.30,Cap 50%
4890,0.450920245398773,-5.77491302610539,-0.09998259458911354,1.20–1.30,Cap 75%
4890,0.450920245398773,-1.757089943129817,-0.02756227139995341,1.20–1.30,Cap 100%
4890,0.450920245398773,3.126943130767812,0.04316837081028586,1.20–1.30,Cap 150%
4890,0.450920245398773,5.387305107801505,0.06952482957615083,1.20–1.30,Cap 200%
4890,0.450920245398773,7.061010960402325,0.08572309091260624,1.20–1.30,Cap 300%
4890,0.450920245398773,224.85378340580766,0.015371381910780307,1.20–1.30,Stop -50%
4890,0.450920245398773,219.31988531604242,0.014992965556743246,1.20–1.30,Stop -75%
4890,0.450920245398773,5.352512493415315,0.09609267276846381,1.20–1.30,Cap 100% + Stop -50%
4890,0.450920245398773,10.236545567312943,0.15765081282833834,1.20–1.30,Cap 150% + Stop -50%
4890,0.450920245398773,12.496907544346637,0.17777909460187985,1.20–1.30,Cap 200% + Stop -50%
3452,0.4510428736964079,11.564878962687265,0.128297064974772,1.30–1.40,Hold to expiry (baseline)
3452,0.4510428736964079,-10.109587413931704,-0.19930298877351987,1.30–1.40,Cap 50%
3452,0.4510428736964079,-4.311361276318928,-0.0742139370094108,1.30–1.40,Cap 75%
3452,0.4510428736964079,0.08323880466547903,0.0012910058499722116,1.30–1.40,Cap 100%
3452,0.4510428736964079,5.456518984345165,0.07396990280222973,1.30–1.40,Cap 150%
3452,0.4510428736964079,8.350961662380094,0.10440131738164697,1.30–1.40,Cap 200%
3452,0.4510428736964079,10.616670830029681,0.12309242795746055,1.30–1.40,Cap 300%
3452,0.4510428736964079,18.601768213687656,0.22259452716023165,1.30–1.40,Stop -50%
3452,0.4510428736964079,13.178431948470838,0.14903295879018394,1.30–1.40,Stop -75%
3452,0.4510428736964079,7.1201280556658695,0.1263238460366792,1.30–1.40,Cap 100% + Stop -50%
3452,0.4510428736964079,12.493408235345553,0.18865303889047771,1.30–1.40,Cap 150% + Stop -50%
3452,0.4510428736964079,15.387850913380486,0.21133609423262983,1.30–1.40,Cap 200% + Stop -50%
4741,0.4537017506855094,2504.1030288993084,0.02020978343693738,≥1.40,Hold to expiry (baseline)
4741,0.4537017506855094,-9.987426709250194,-0.19852165244702105,≥1.40,Cap 50%
4741,0.4537017506855094,-4.338878325073215,-0.07540997627725521,≥1.40,Cap 75%
4741,0.4537017506855094,-0.338127039752038,-0.005330414098528652,≥1.40,Cap 100%
4741,0.4537017506855094,4.639981417494673,0.06422126062214692,≥1.40,Cap 150%
4741,0.4537017506855094,7.203199444847864,0.09243764243801803,≥1.40,Cap 200%
4741,0.4537017506855094,9.311990979510115,0.11084947329178814,≥1.40,Cap 300%
4741,0.4537017506855094,2510.9066435174427,0.02026471626423156,≥1.40,Stop -50%
4741,0.4537017506855094,2505.619412449986,0.020222026833370314,≥1.40,Stop -75%
4741,0.4537017506855094,6.465487578382426,0.11638047802613594,≥1.40,Cap 100% + Stop -50%
4741,0.4537017506855094,11.443596035629136,0.1762679147884583,≥1.40,Cap 150% + Stop -50%
4741,0.4537017506855094,14.006814062982327,0.19745195462924142,≥1.40,Cap 200% + Stop -50%
