test_year,variant,n_approved,n,win,avg_roc,sharpe
2021,baseline_all,0,18861,0.3937755156142304,-3.3347708895628783,-0.03432138139315639
2021,baseline_fvr,0,3844,0.4183142559833507,1.0456951149041989,0.012548326734774283
2021,var_a,225,2484,0.42028985507246375,1.7685803341587265,0.0216558217875571
2021,var_b,118,1938,0.4169246646026832,2.622300389911404,0.029726197691739255
2022,baseline_all,0,20242,0.42243849421993873,208.33688033789883,0.011980955750906507
2022,baseline_fvr,0,2465,0.460446247464503,423.8848361257801,0.020573864618369617
2022,var_a,241,1418,0.46403385049365303,10.145268292774576,0.12167973701160871
2022,var_b,131,1232,0.47483766233766234,11.817295111098986,0.1435223475188725
2023,baseline_all,0,18467,0.4080251259002545,-1.3681377184710786,-0.01758181758297912
2023,baseline_fvr,0,3127,0.43652062679884873,4.285760750592807,0.05226339718069492
2023,var_a,260,1771,0.44776962168266515,7.247261534514315,0.08481866858722657
2023,var_b,139,1641,0.445460085313833,6.676657741259509,0.07765812198389217
2024,baseline_all,0,19866,0.4206181415483741,1.0655879662672918,0.013439311838636982
2024,baseline_fvr,0,3763,0.4108424129683763,0.819440470172135,0.01035042390658774
2024,var_a,285,2070,0.4289855072463768,4.02254902203574,0.050085256464117905
2024,var_b,157,2012,0.42296222664015903,3.0021474879098244,0.03770404483005424
2025,baseline_all,0,22206,0.402999189408268,0.9552466914985818,0.011238648437624905
2025,baseline_fvr,0,4377,0.4345442083618917,7.352372273162814,0.08235662561067189
2025,var_a,322,2585,0.44990328820116054,7.85852828725089,0.09103906756106511
2025,var_b,163,2152,0.44702602230483274,7.3604783002192224,0.08611686995281066
